score,content
4,i have been trying to load into the game for over hours now and every time i try to start the game i have not even made it to the game yet it just says insufficient storage i have heard great things about it but i cannot even load in edit i got into the game on another device and it is amazing great graphics and storyline
1,after the new four update the game on my android pixel six pro is unplayable it lags so hard when i use elemental skills or bursts
4,it is a really good game but it is annoying how it now censor words like can and me and the fact that you can cuss and it does not censor it but other than that it is cool can you please fix this
5,please add controller support for android it is been years eight bitdo is even releasing an android genshin impact official chongyun controller so let us use it on android please
5,a really good game there is no flaws in storytelling the bosses are thrilling but not too sweaty and the gamplay is overall incredible
3,very fun game at the start rates are pretty abysmal though if you are looking for a game in which you get the characters and weapons you want look elsewhere with decent luck you can get a couple you want if you save for an entire year do not play the game if you want good updates that are not just focused on dialogue not actual gameplay if you want endgame content this game sucks if you want to not grind for hours on end every day just to lose your this game sucks do not recommend
1,when came this game is does not let me enter i keep restarting my phone and tried a many solution but still did not work i am stuck at the geo sign loading screen and it warning me that ui is not responding pls fix this hoyoverse many people too having this error especially those who are low storage i love this game but it so laggy and keep crashing and now i am stuck at the loading geo sign
5,it helped me through a lot when i was younger and it still helps me now and even efficenter place it is still the thought that counts and it always make sure to go after the thing that you need the most liked how she needed her brother david remind you to always believe in yourself
5,awesome game so far great graphics and runs smooth just wish i could use xbox controller without having to pay for an app using android
5,honestly this game is very fun to play in my opinion when i am bored i just play this game and i get so into it i sometimes rage quit you can play with friends and play in co op mode once you reach a certain level i love this game and the fandom the characters are all equally unique and the plot is super cool overall a amazing game and totally recommend if you like anime
1,i have played this game since it is second anniversary and i must say it was a fun experience until the bliss faded and i saw it for what it truly is a cash grab no good events tedious story horrible rng and most of all the pity system and the complete lack of empathy for the free to play players it says third anniversary but it is really just two ten pulls that is it no love or effort other gaacha games give more but this this is just utter garbage save yourself do not play this trash
5,for me genshin impact is perfect good story concept excellent world events and graphic i also love the fact that you can thrive even being a free to play player so spending is your ultimate choice not an obligation i love this game so much well done
5,i have gotten really far in this game and i gave to say it is amazing it is ftp friendly and it is just the right amount of challenging
5,this game is so addicting for me i was playing this game and i had a lot of fun this game has good quality the characters are really great they had the quality needed kaeyas voice is a bit like shawty nahh hahaha just kidding the story is interesting for adventurers it explains all the game is equal and fair although i had no experiences playing with such a lagging game idk why but i am annoyed because i never played such an exquisite game i can say is that it has a very good quality
4,this game is very amazing the new update is cool fontaine is also breathtaking and the underwater mechanics are amazing too but whenever i try to log in to play the geo icon takes so long to load please fix it
4,it is good so far but it keeps kicking me out i was in the middle of fighting and it kicked me out it is annoying but good game
4,it has good characters and pretty epic story but i think resin cap should be higher since it is getting added to star rail too co op experience is not great but i guess it is ok it is a good game you can choose whether you are just playing for lore comat or to just wish for characters you like
2,the game is fun but i really wish the drop rate was improved i wanted the get the five characters but the pulls are so bad the wishing system is bad i do not wish to spend so much to get a five character i get nothing but weapons and maybe just maybe a four character this needs to be improved a little
5,thanks for the game this game exists years he have big history with many character in open world this is casual game but people can try breast abyss waifu gaming it first place
2,genshin is a fun open world game with a ton of fun things you can do you can battle explore play with your friends etc however the amount of storage this hame takes up my phone is nearing sixtygb due to the new regions and updates it requires its players to download dont get me wrong the lore and story makes it worth it but i think mihoyo should limit the amount of gigabytes needed for mobile players to download i love the game but many people quit bc of this exact reason
5,you guys have no idea how much i love this game soooo much whenever i see merch or cosplayer i would scream the top of my lungs the style characters stories graphic adventures they are all awesome please keep updating so players would not get bored although we might get problem if we used android i do not really care as long as it is genshin impact or hoyovers game i would likely recommend please do not ruin my expectations and never change my mind have a nice day suki
5,hey the game is great i have felt no problem like bugs or glitches but can you guys optimise genshin for the samsung a fifty four or exynos eighty i would greatly appreciate it
5,i have been playing for a year and a half now this game is reakky good and all but today i just encounter a problem which i cannot log in my acc through fb it keep showing something went wrong please fix this hoyo i want my acc back
5,nothing to say this is my first time play it and i never see it on yt or any platform just this game always show up in ads game so i tried it maybe i play little longer to know about this game
1,waiting for one day that it successfully play on phone with smooth no lag and no over heating my phone but too bad it should not be mobile game anymore have fun outside play with friends but our phones cannot handle it the new map is burning your phone when only gaming thirty mins around play in low graphics also cannot help much all u get are only lag with heating and nearly burning phone better play on pc which requested eighty to one hundred gb to download it but still better play on phone
5,it is an absolute fun game i enjoy it so much i love the graphics and everything about this game keep up on the updates
5,hi can you guys fix the issue that has been there a long time ago its the dmg icefield and grass on android arent showing hope it get fixed
5,i love the art style and story if this game it looks so good and the story of this is just great especially when you get characters st the beginning of the story this whole game is just great in many different ways
1,its a worst game ever i played for four months for kazuha i did not got even a good piece set for kazuha they really test patience untill we give star review i am ar fifty five level wish event is waste i did not got even a five star character in low pity battle pass is unaffordable
4,this game is the best online adventure mobile game the map is so cool and the monsters and bosses are strong enough to have fun while playing alone or with your friends you can upgrade your characters as you want and the grafic are cool but my problem is with the space why all this space and it downloads a lot maybe half an hour to only enter the game but beside this it is fantastic game
5,it is really amazing for a phone game free to play and no ads i wish i could rate it above five stars it is currently my favorite game it has a huge area to explore many awesome quests characters and things to do
5,i love genshin been playing it for a year now i must say its an expensive game you need a good device to play the game since its very heavy on graphics but all in all the theme song and the lore is very amazing its just hard to earn primogems when you are lazy and an free to play haha
2,the best parts are the exploration and the fighting mechanics but to get the best out of those you need to do unnecessarily huge amount of grinding i also feel like this came has the biggest identity crisis since it is trying to be rpg but none of the dialogue options affect the course the game rhythm game gacha game card game cooking game decoration game dating sim detective game and whatever they decide to pull of
3,it is a known problem but having fewer chances to pull the character you wanted is giving me more reasons not to play regularly pity system is also very frustrating as it may vary from zero to ninety pulls it would be better if even it is at least thirty to fifty pulls to trigger pity
5,good game like the story line you can do what you want in the middle or the quest as it does not force you to walk a path and head straight to the quest area
5,this game has some lags but every thing else is perfect the characters are stunning and they have backstorys forcing me to the end of my seat this game is amazing with lots of adventures to do
2,the new update has been taking a lot of time to load but now it just freezes once it has finished loading and exits the game just like that i love genshin but i am really frustrated because i have not been able to play for days now
5,good graphics voice acting is good good fighting system and so much more
5,absolutely love this game the scenes and graphics are great the open world map is beautiful but i play on my phone so i have to delete a lot of stuff to get the updates still love the game though
4,i had a great time while playing but the new updates reset my progress it is my fault since i did not log in yet but i am just a bit upset about it
3,genshin is a very wonderful game but it is becoming boring i hope you can add some more useful settings like more sensitivity limit and more useful dodge mechanics because dodging is very dull and pointless because of very op shielders and reduce enemies attack intervals to give us time to react and i hope you can add some camera distance option while sprinting and better targeting system like in star rail and hi to avoid confusion in battle and more camera combat options just my suggestions
5,the world is amazing the story and the characters if you want to play this on mobile make sure your phone has enough storage i play on pc but placing on phone is also nice since i can play anywhere i like
2,game is way too focused on whale players not everyone can pull one hundred wishes on every most banners fate points reset is by far the worst feature here makes me want to stop playing at all
1,greedy company that does not reinvest into the game to keep its experiences fresh and fix in game lip sync with voice lines will only get worse over time
1,you have lost your touch thanks for making traveler the most boring mary sue to exist not only the story have been of low quality but the limited timed events seems poorly planned as well this game had so much potential and now it is gotten bland and boring
1,i overall love the game but i couldnt get into the game i am currently installing this game again to see if it was a glitch but i really hope i can play this game
5,i am using oneplus nord ce lite five g and it is smooth and great fps and although it take nearly twenty to thirthy five gb of space out my phone it is still normal and wonderful performance ram eight plus four gb so i have nearly no lag but there is lag but only after two hours of constant gameplay wonderful and free to play game does not require money to be spent on the game relax and spent some time to go forward with the game by playing free to play characters
3,love the game play and the character design is amazing but i cannot play the game anymore because it takes up to much storage and is getting bigger
5,for years of years i searched this type of game like great graphics great storyline just enjoy and feel its adventure explore the world to get everything you need and for heros practice makes everything perfect like use the bow one for distance kill and you don t have to pay any kind of money but you can if you have primo deficiency or just want the best characters for you there are no flaws in this game generally thank you hoyoverse to create this masterpiece
5,best game everything will go smoothly if your device can withstand the insane storage consumption and the graphics my advice to mobile players is to lower your graphics to the lowest that way you can enjoy smooth gameplay smoothness over graphics if you would ask me if you have a potato phone then condolences tbh
4,it is is a good game but i deducted that one star because i think the spiral abyss is hard it is hard for new players to experience it how are you gonna expect a new player that has to do combat in a time limit but not get the rewards at a certain time stamp please hoyo thank you
5,d open world adventure highly recommend this game as it is really fun and the ads are not lying ten over ten
5,cannot get enough of this game just wish we could dress our characters more especially the traveler and pet play hold the dogs and cats but other than that i love playing and swimming lol
3,it is a bit hard to use for newer players and i am glad it is not like pick the male treveler if your a male and pick the female traveler if your a female
2,if by chance i do not play this game for to four days it just keeps on downloading for ten to forty five minutes it is just so irritating
5,game is very good graphics are totally mind blowing environment is amazing controls are smooth you can play with multiple characters as you progress in the game
4,i love the game the characters the map and the lore i really do the update has made it rather insufferable playing it though there is a glitch that happens regardless of whether or not i uninstall restart the game midway battling say the oceanid it is hp is down to half all of a sudden the battle stops and disappears when i do a rebattle it becomes × difficulty wasted my items i still love the game though just hard to get resources to level up the characters when this happens
5,good game great graphics reminds me of zelda but the new update messed up the game everytime i try to log in it kicks me out the game
1,great game as a whole but unfortunately it has a lot of drawbacks it has the worst launcher in the world as you can have a steady twenty mb connection but it will always fail to download and you will find yourself downloading from the start again and again it has farming issues resin and a lack of end game content as i find myself with no quests no exploration no content to keep me busy playing the game and no resin to keep farming for my characters
2,october one the game exceeds all expectations of a free to play game the voice acting is incredible the animations are gorgeous and the world is so big bug in co op i cannot enter dungeons even after meeting recommended level requirements around adventure rank thirty progress slows dramatically four over five stars october twelve this is a soul sucking game with a zero point six percent chance at five star hero and not enough variety to keep it interesting gameplay becomes repetitive with endless fetch quests it was fun while it lasted
3,the game and new update is beautiful and amazing i do enjoy exploring around but the issue i have encountered was when i teleport to a certain waypoint then my game crashes i had to use another device to open it again and teleport away and then in the middle of the archon quest the second part where we are underground with navia and the headquarters my game crashed i do not know what caused it but i hope it gets fixed
3,it is sad that star rail is far more better then genshin now i wished they would be like them it is ok to add more end game events and give us increase resin star rail has higher resin cap man i wished they add all the things in star rail to genshin impact please put it in genshin impact
5,i love genshin it is amazingg its graphics its storyline the characters the wishing and the free primogems we get when mihoyo reaches a goal its amazingg
5,this is the best open world game you can travel and see other players it like you are in real world like anime series being isekai everything in this game is so goood
5,great characters and mechanics for adventuring and wandering in the expansive world of teyvat my daughter and i really enjoy this game
4,wish you can use an xbox controller like on the iphone version but the frame rate is better on android i would definitely give it five stars once u can connect third party controllers to play i like to cast to a tv and play when i travel
1,the new event does not even work properly the enemies will not spawn but the timer still runs
5,today i got around one hundred mb update but it keep going seventy eight finished then again it is go to fifty it keep doing like this i waited half hour but still it not finished please fix this bug this is second time happening with me and first times also happen with similar small update i cannot even play game i cannot even re download game because the game sizes it too big please give me solution or i have to download again full game i do not have wifi i am using mobile data so you can imagine how much time it wi
4,the game is amazing but i have been trying to get in the game but it says i do not have enough storage after i cleaned out my junk files it still did not let me in
5,this game is a perfection unimaginable that this is available on android the game is huge even onehundred x larger than all gta combined
4,this is a great game for the first week but after that there is just too much dialog if i want to do anything i need to go through about five minutes of dialog it is just not as fun anymore but other than that it is a really great game i would definitely recommend it if you are patient enough to suffer through the dialog also c kequing is not funny
4,the game looks great i had issues at first when the game was released but now it is running better than ever i just wish there was controller support for the android version i mean there is a pc and playstation version that support controllers but not the mobile version weird
4,this is awesome the graphics work for my device the games voice acting is good as well
4,imagine you come home from school stressed tired and depressed your dog just died because your family cannot pay the vet bill you log into genshin impact your favorite game ever to find solstice you manage to get to seventy five pity and can get a limited five star your favorite character you lose your to qiqi c you cry because your life is helpless hopeless and depressing make atleast my favourite game more forgiving i use this game to have fun to escape not be depressed let me run
1,i need that hoyoverse release a software for gamepads on android i can believe that we already had this game for years and we still cannot play with controllers on android
5,i really enjoying this game even i do not mind the quality lag so well i see i like the characters and the religion map also i like the offcial art and is very fun to play it i do not have a single the most hate characters i really love all of them the song was to entertaining to listen to
5,for me this game is one of the best open world games exploration is so fun there is a lot of quests that are fun and ones a little less overall there is always something to do in genshin characters are beautiful and lore is amazing as well totally recommended
3,it is good but i think we should remove the sufficient space on genshin impact because i was clear the storage and its show again i was trying to play with my friends
5,it is one of the best gacha games you can come across there is always something to do in new updates and the character design is so amazing the only problem i have is the resin cap but besides that this game is absolutely amazing
5,by far my favourite game in the past i have always struggled to stay consistent with games but ive played genshin everyday since i downloaded it its endlessly entertaining quests about characters or history of certain places just deepen my interest with the game i can whole heartedly say that even when the storyline ends im still gonna play awesome game
5,i have been playing for a year and all i could say is bravo again hoyoverse you have outdone yourself again the game so far is amazing no bad thoughts so far the lore background music characters all amazing and detailed
5,my quests are not showing up on the right of my screen i have quests here and no idea where to proceed because navigate doesnt work please help me there is issue with the game
5,as a new player it is really good overall good graphics storyline and at least for me has a good balance if you prefer the adventures or the story this game will be best if people play at a high storage phone or pc
5,it is a lot of fun i like that you get different characters with different attributes to use the dungeons have been fun and i am so glad there are waypoints i also like i can upgrade characters wherever i am at as long as i have the things required and love enhancing my weapons not gonna lie i am addict
5,this is five star for cuz this game it is so adventure and it so good about your graphic and it is look smooth about the screen and that is all thank you
5,this is the best open word game by a looong shot the devs here have done outstanding job at creating a world thats actually interesting and filled with rewarding quests and puzzles apart from the main missions content which btw is fire is added regularly so you are never really bored unless speedrunning exceptional storyline man this game is peak
4,this is an excellent game it is very fun to play this game but i do not like that i cannot get an five star out of the banner except diluc
5,i am sure this is a brilliant game but i was not able to log in or register because my password may be an error and when i try to register the verification code will not show up
3,yes i like the genshin impact but i will only give it stars because of the nahida and kaveh glitch that hoyo has not fixed yet and i want it fixed because they say it is permanent and the glitch cannot be reversed even if log in again or redownload this is scary because if they do the glitch the heroes or other characters may not be able to level up because of the glitch hoyoverse if you can see this i hope that you have fixed the glitches that other players do not want to happen thank you
5,my favorite game of all time has amazing lore and characters and graphics and you can see that the people working on this game put a lot of effort into this game and the world this story takes place in isnt just split two sides like here are the good guys here are the bad guys instead there are many sides and its a bit hard to tell wich side is on the wrong and wich side is lying about being on the right the gameplay and game is amazing and is definitely my favourite game of all time
2,good game but sincerely hope game become less popular and more players quit so i can get higher chance to win limited reward from their contests more players mean less reward after all
4,i like the game the graphics and game play are great however it is very grinds and sometimesmost of the time it feels like a a cash grab which most gacha are so that is fine i stopped playing a month after summeru because of how much gigabytes it took and i am reinstalling to see fontaine and i swear to god if fountains is behind an ar fifty level wall like iwazuma i will uninstall and rate stars i still like the game
5,what else do i have to say this is an absolute masterpiece the osts are very relaxing or very intense the characters are easy to attach to the gameplay is insane and the lag is nonexistent which is incredible for a five gb game
4,good but i got i problem every time i run an app and try to log in it says no network available wi fi is good what is going on
3,update death by dialogue i use to love this game the story was immersive and it was about the game play now it is all overly long irrelevant side stories and fillers pot and card game are a waste of the developers time get back to what was good exploration plot and fighting
4,the animation of the game is just amazing its story line is quite suspenseful which makes it even more interesting
5,it is so fun and the characters were so cool i mean i find it boring at first because of fighting with some strong opponents but i got used to it
4,the story is really great gameplay wise its eight over ten very repetitive if you are done with the story you have nothing else to do but farm
5,i love this game such breathtaking views sometimes they even make me stay afk enjoying the beautiful scenery and music anyway the character designs are perfect oh and the new update is quite good
1,i loved it so much but i am disappointed now i need to delete almost everything on my tablet just to make room for this game i understand that it is a big game but you guys seriously need to optimize the file sizes star i think i speak for almost every mobile player when i the fonatine file size is outrageous i wasted so much money and time on this game and im one of the unlucky people who does not have a pc or playstation to switch too it is unplayable at this point i am so disappointed
5,hoyo give me my ten wishes back it ate my ten pulls while i am lagging did not got anything back i would really appreciate it if you fix this little bug that i found out from a player named yasha btw heres five stars in my other accounts this games great when i am not lagging
5,this game is really fun and a neat adventure game it has a good story and awesome characters with very fun ways in combat they all have very different ways to fight personalitys and apearences if you enjoy lore story and adventure i would recommend
1,gameplay is great music is awesome character design is fantastic but through inazuma they just got lazy with story development but they redeem themselves with sumeru story dialogue however are pretentious and too lenghthy no skip nor story archive milestone reward anniversary new patch etc is pure joke zero respect for its player base the rng for artifacts is just basically punishing player for playing the game the grind is horrible you can farm and grind for months for zero progress
3,a good game definitely even though almost everything on console pc is better mobile still holds up for when you are on the go and do not have access to the superior resources to play
2,love this gameso much but i am upset android users seem to always have problems with the game lagging out horribly iphone can work without wifi and does not lag once but an android cannot function genshin without wifi for even five seconds before kicking you android has always lagged a bunch too i have tried different androids that all lagged and would not function off of mobile data every iphone did not have even one problem
2,it just keep crashing even tho i have more than enough storage space and got the lowest graphics on but it still keeps crashing the fps is on four but the gameplay looks like it got frame per seconds and then crashes i cannot restartgdnshin because i do not have wifi i only play genshin with data so mihoyo please fix this crashing issue
3,the game is good there is alot to explore and to do and so is the details but the reason i gave it a stars is because the account that i have been using for thus past few months disappeared i dont know how but all my hard works also disappear which means i have yo restart everything i lost interest since i have to restart all i did pls fix this
4,when i first installed this game i thought its would be a fun free roam game to play in my free time and i was sure right the only bad thing i would say about this game is that it is really hard to level up and the amount of exp it requires other than that it is a great game
5,one of the best games developed ever a cross platform game that enables players to continue their adventure whenever and wherever they may be a co op available feature that makes genshin impact one of the few mmorpg that can be enjoyed together with friends and family superb back ground music out of this world graphics player abilities to jump run swim and now even dive underwater truly remarkable by mihoyo
3,still no android controller support my old iphone has controller support but i guess they do not care about android the game is standard gacha fair you can get lucky and pull some op characters or be like me and spend hundreds to pull mostly junk oh well i used to enjoy the game and do not mind throwing them some money but no controller support years after release when the game is on consoles and has controller support on ios is inexcusable
3,the game is amazing and good to play highly recommend but i have to say when i try to update the game it is not allowing me to update it and when i finally updated the game the background music was so glitch it sounded like a robot and now it is hard for me to play wish i could sad i cannot but other than that you should definitely play just be careful so you do not break it
1,keeps lagging even with low settings my game keeps freaking out and glitches terribly idk what to do besides wait hours to reinstall it and uninstall it constant flickers
4,good game wish there was better camera control especially for mobile users i keep getting my camera plunged in to the grass whenever i get hit in combat and the sensitivity to pull the camera back to normal is such a hassle especially if ur trying to stay alive pressing other buttons
4,we need controller support for tablets i do not want to keep using third parties apps the game is alright been years playing and no controller support whatsoever
1,talking about game technically so far i have no problem but the story line is not good especially the part where you add or describe characters as gods and you have to choose worship in order to gain benefits of game i really really wish if that wasnt the case games should be devoid of religion the religion aspect of fantasy makes people like me who are faithful to one religion very uneasy kindly dont make games based on religious fantasy so thats why i am uninstalling it
5,its a very nice game an open world where you can travel different places what i would like to ask if its possible incorporate a open microphone during coop with your friends that would be really fun
5,hoyoverse i love this game so much for my whole life cause this game has chill vibes interact with attractive characters slaying enemies grind for artifact and many more it makes my day a lot and i have been enjoying it a lot when i played it keep up the marvelous work hope to see more excitement in throughout the whole updates and in the future as well
5,it is really a wonderful game but this past days i have been experiencing some error the loading screen take too much time and i cannot even play it no it is not my cp cause i have fifty sixgb and eight gb ram it is just will not let me in the game i refreshed it but nothing i hope you will fix this it is really a good game and it will be a shame if i will delete it
5,it takes me back on the ragnarok feels back in two thousand i enjoy the story the quests and the anime style
5,overall this game have a nice performance the quality the graphic are not bad as for the story and lore i would give it a ten over ten bc they are very interesting and does have a good plot
3,i have always loved you game but one day yall had to change the ascension quest and now it is getting harder for some players like me to ascend yall please bring back to old ascension quest it was much better
5,played and it was great however i would love the pity system to be lowered to at least seventy five pity per five star and also we only get resin per eight minutes i wish we could at least get resin instead of one and the resin cap is sixty but i think it should be at least twohundred because one daily boss takes up forty resin and you only get boss drops per boss i am ar fifty six
4,i really like this game even though i do not like any others under hoyoverse and i have been playing on a new account after my last one was deleted it is super easy to get used to the controls but i still wish you could connect a keyboard or controller and still play on that also the rendering is very slow and it often disconnects me without warning
3,i love this game but can you guys please add a login with google option on all platforms the game is too big for my phone but i really wanna play i want to be able to log onto my account on my computer
4,beautiful game ten over ten for me after playing every day for months i lost all my progress and the game sent me back to character selection i tried starting over but piamon voice started to get annoying so i removed the app
1,after the latest update the adventure rank ascension three become so hard all character have max up still cant pass the level the time limit is to short all characters lvl eighty weapon lvl eighty artifact lvl seventeen to twenty talent all up to lvl six
3,the game is alright it is just eat up lots of space but it is now good also it is a bit laggy to my two phones i use to play this but it is somehow fun to play
1,this game does not respect ur time these unskippable story plays line at a time and are stupid and shallow it is a pain to go through also the devs sens of games difficulty is just give enemies more hp or give them five sec invincibility to stall for spiral abyss also recently the abyss enemys can oneshot heros out of the blue devs are not skilled enough to make a good combat system and the artifact farming is a pain the worst of all the game lags like it is running a powerpoint slide
5,love this game there is so much to do and explore i just cannot get enough though the great game play and graphics do have a downside if i play too much or for too long my phone will heat up and i have to take a break and when i mean long i mean like twenty to thirty minutes but other than that it is a great game and i really enjoy it and recommend it to anyone who loves an action packed game
5,the best open world game i have ever played perfectly balanced game especially it is a free to play game which does not require any money to play i am loving the contents of the game
3,four point nine over five for desktop and one over five for mobile it is not very optimized for mobile you will need to download like anywhere from twenty to forty gb of data after downloading the app from the app store and only half of the entire story has been released i would hate to see how much storage this game will cost in a few years i would not be surprised if it hits one hundred gb
5,this is one of the best games ever i absolutely love the graphics the characters and everything else i do wish i could transfer data onto other servers but overall this is amazing
4,i love it but when i got a new phone and installed it on that phone my old account kept crashing it works on a new account but i want to use my old account i dont know what to do i love the game the graphics are great the lore is great too
4,i have played since week and i love this game so much especially since my wife and i can play together the characters are so fun crazy and mysterious and the story just keeps you wanting more i do wish theyd fix the artifact grinding somehow because i dont even bother with domains anymore i also really wish theyd add another shop slot for a character because there are so many four stars that ill never see because the banners just will not give them to me please mihoyo its been years
5,i always thought why people were talking about it so much but now i understand although it needs five gb space in total it is worth it i have been playing it for nearly hours straight it is so fun and immersive i greatly recommend if it is possible for you to download it
5,genshin is amazing no question any game so popular will attract some hate but anyone can see within the first five min playing the game it is really damn good my only complaint is the inability to skip cut scenes
4,i have encountered a bug so when i log in to my main account after downloading the resources it lets me right however when i have not downloaded the resources to my other account it makes me download it and when i try to go back to my main account it makes me re download the resources please fix it because i just want to log in fast thank you
5,this game is amazing the graphic the story line the characters and so many other things is really well made
5,i have played this game since the release and i used to enjoy it but after playing it for a while i cannot deny that the story writing and it is execution is getting downhill the lore is deep and intricate but the way the main story is presented is laughable most of the characters who have potential wasted just like that honestly i do not even understand why the quest must be fast paced like that it was just very underwhelming
5,graphics are awesome and that story style is too good english dubbed that not too bad but japanese dubbed voices are so my awesome and that gives a anime life vibes
2,legend of zelda breath of the wild but on phone and more anime d aka probably the best thing ever but also the saddest thing cuz it becomes boring with this much content and no catch up to the story i fell behind on the main campaign and i am less motivated to catch up with it due to hours and hours and unskippable boredom
4,great update new battlepass weapons new artifact craftables new features the only remaining problem is let us top up on any device aside from the device that we created our account it will be a matter of time before my playstation break down i hate it when i have to open up my playstation and update for every new version just to buy battlepass there please let us top up on any device please
